Question,Answer,Tag
"If data stays in AWS, can I use Claude for unlimited commercial purposes?","No. You still need to comply with Claude's EULA. Bedrock's data privacy is separate from license restrictions.","Licensing,Data Security,Priority High"
"Can I fine-tune Llama 2 via Bedrock if I do commercial work?","Yes, but check the specific Llama 2 Community License terms. Generally commercial fine-tuning is allowed; check for restrictions on competitive models.","Licensing,Model Customization,Priority Medium"
"Does Anthropic train on my Claude prompts if data stays in AWS?","No. Bedrock policy: no prompt/completion logging, no model training on customer data.","Data Security,Privacy,Priority High"
"Is AWS liable if I violate a model's license?","No. You accept the license when enabling the model. Compliance is your responsibility.","Licensing,Compliance,Priority High"
"Can I input client data into an external AI tool like public versions of ChatGPT?","No. Client information is classified as Confidential or Restricted data. Inputting this data into any public or unapproved external AI tool constitutes a serious data breach and is a violation of company policy and data protection laws like GDPR.","Data Security,GDPR,Priority High"
"If an AI tool helps me write code, who owns the intellectual property (IP)?","The company. We retain sole ownership of all intellectual property created by an employee as part of their job, including code, text, and other materials generated with AI assistance. You must ensure that the use of any AI tool does not incorporate third-party code with restrictive licenses into our products.","Intellectual Property,Licensing,Priority High"
"What is the difference between AWS-sold and vendor-sold models in Bedrock?","AWS-sold models (Nova, Titan) use standard AWS terms with no additional EULA. Vendor-sold models (Claude, Cohere) require accepting the vendor's EULA and may have additional data processing terms.","Licensing,General Business,Priority Medium"
"Do I need to accept a EULA for Amazon Nova or Titan models?","No. Amazon-owned models use standard AWS service terms. No additional EULA or use case form required. Available immediately with AWS account.","Licensing,Amazon Models,Priority Low"
"What is required to use Anthropic Claude models for the first time?","First-time use requires a one-time use case submission via Model Catalog → Claude 3.x → View Subscription. Answer use case details, await approval, then accept the EULA.","Licensing,Anthropic,Priority Medium"
"Can I use open-source models like Llama or Mistral without additional licensing?","Yes, but you must comply with the original license from the model provider (e.g., Meta LLAMA2 Community License, Apache 2.0). Bedrock doesn't restrict usage beyond the original license terms.","Licensing,Open Source,Priority Medium"
